,0
cdescubierto_preacordado_min6,719.5224692662557
rankp_mcomisiones_mantenimiento,717.0659752527873
internet_max6,712.5502044677735
mcuenta_debitos_automaticos,712.1574864069621
ccaja_ahorro_max6,686.7838576634725
mcaja_ahorro_lag1,678.1138693491617
internet_ratioavg6,662.0046158790589
ctarjeta_visa_tend6,661.0642905553182
cliente_edad_lag2,653.4478634516398
mcuenta_debitos_automaticos_ratioavg6,652.7165273030599
rankp_mextraccion_autoservicio,643.3606972376506
rankn_cdescubierto_preacordado,642.912327893575
rankp_thomebanking,636.8495328903198
ctarjeta_visa_debitos_automaticos_ratioavg6,625.580665397644
mttarjeta_visa_debitos_automaticos_ratioavg6,621.4003829956055
mtarjeta_master_consumo,619.5727407455445
mpayroll_lag2,614.5509459813436
rankp_ccajas_consultas,611.000880241394
rankn_Visa_mpagominimo,609.6420559565227
mprestamos_personales_lag1,589.3443005243937
ccajas_consultas_ratioavg6,572.1960697174072
ccaja_ahorro_delta1,559.6344895680745
Master_mpagominimo_tend6,554.8385184605917
rankn_Visa_msaldototal,553.2080008188883
mpayroll_tend6,550.1142926534017
cprestamos_personales_tend6,537.8560704549153
mcaja_ahorro_dolares_delta1,525.5995166142782
Visa_mpagominimo_lag1,522.76050268809
mpayroll_sobre_edad_lag2,517.5741903305054
mprestamos_prendarios,511.89926363627114
ccuenta_debitos_automaticos_tend6,510.6386425654093
mpayroll_delta1,497.79686705271405
mttarjeta_visa_debitos_automaticos_delta2,496.90912005106605
mtarjeta_visa_consumo_tend6,486.6903362909953
mplazo_fijo_dolares_ratioavg6,483.5466399510702
rankp_mactivos_margen,482.64546349843346
rankp_mcuenta_debitos_automaticos_1,481.3020601272583
mcomisiones_mantenimiento_delta1,471.8360075632731
tmobile_app_ratioavg6,464.17038373947145
Master_mpagominimo,457.46884371439614
ctarjeta_debito_tend6,449.20227406819663
mpayroll_sobre_edad_tend6,448.63253809611
cliente_antiguedad_lag2,447.5719094912211
rankp_ccajas_otras,442.9461078643799
Visa_msaldopesos,433.30788809458414
rankp_thomebanking_1,405.6807262420654
cliente_antiguedad,405.3890996297201
mcomisiones_mantenimiento,404.4338601430257
ctarjeta_master_ratioavg6,403.89273103078204
mprestamos_personales_lag2,400.5253568649292
minversion1_pesos,391.44540646870934
mcomisiones_mantenimiento_lag2,390.4666035970052
mactivos_margen_ratioavg6,388.9601063410441
rankp_mcomisiones_mantenimiento_1,388.8585629145304
Visa_delinquency_ratioavg6,376.8190134048462
mtransferencias_recibidas,373.4228235244751
mcheques_emitidos_rechazados,370.20872599283854
Master_fultimo_cierre,362.0382638295492
mactivos_margen_lag2,360.2653532028198
Visa_mpagospesos_ratioavg6,360.1747152964274
tcuentas_lag1,359.24583867390953
mtransferencias_emitidas_ratioavg6,357.8032735188802
ccallcenter_transacciones_tend6,350.01035970052084
cprestamos_personales,349.27204825083413
Master_msaldototal,346.60534337361656
mactivos_margen_max6,344.8594086964925
Visa_msaldopesos_ratioavg6,343.3419531504313
ccallcenter_transacciones_delta2,340.7312833150228
Visa_fechaalta_ratioavg6,337.2025872548421
numero_de_cliente,332.3230931599935
cplazo_fijo_tend6,330.83527317047117
minversion2,330.4403265953064
rankp_Visa_mfinanciacion_limite,328.02053343455
rankp_Visa_status,326.126473236084
mcuenta_corriente_min6,318.26590366363524
cliente_antiguedad_max6,318.21449349721274
mrentabilidad_annual_lag1,316.8396023432414
mpasivos_margen_tend6,315.9199466705322
mpayroll_sobre_edad_delta1,310.0737071355184
Visa_delinquency_tend6,307.11959711710614
cliente_antiguedad_min6,306.24076614379885
Visa_cconsumos_lag2,305.061643854777
cplazo_fijo_ratioavg6,302.09781913757325
ctrx_quarter_tend6,301.48971977233884
mprestamos_hipotecarios,299.5175095558167
mprestamos_hipotecarios_max6,297.1522331237793
mactivos_margen_lag1,294.95707308451335
Visa_fechaalta_lag1,289.78897692362466
Master_msaldopesos,288.50425713857015
rankn_Master_mpagominimo,286.7626741409302
mcomisiones_mantenimiento_delta2,283.2737007776896
rankp_mcuenta_debitos_automaticos,278.61354281107583
mactivos_margen_min6,278.5458469390869
chomebanking_transacciones_delta2,277.36875705718995
mcaja_ahorro_min6,273.51785570780436
rankp_Master_cconsumos,273.4442200978597
mtransferencias_emitidas_tend6,258.8271436691284
mrentabilidad_annual,258.46313997904457
Master_delinquency_tend6,255.50109214782714
Visa_cconsumos_lag1,255.2980800628662
mprestamos_personales_max6,252.833096631368
rankp_ccomisiones_mantenimiento,249.62010332743327
ccheques_emitidos_ratioavg6,248.31749992370607
mpayroll_sobre_edad_lag1,244.23423182169597
Visa_msaldototal_ratioavg6,241.50809268951417
ctarjeta_debito_ratioavg6,241.09302724202473
mpagomiscuentas_tend6,239.2617173830668
chomebanking_transacciones_ratioavg6,238.9954538345337
ccallcenter_transacciones,238.51942043304444
tcuentas,237.90385398864746
tcuentas_lag2,236.65457719167074
mrentabilidad_max6,236.3493980407715
rankp_ctarjeta_debito,233.41165002187094
Visa_msaldototal,233.17802848815919
Visa_cconsumos_delta2,233.06860701243082
mcomisiones_otras_lag2,232.69623311360678
Master_status_tend6,232.36986179351806
mcheques_emitidos_ratioavg6,232.08524322509766
rankn_cproductos_1,229.07567284901936
Visa_fechaalta_lag2,229.01942017873128
Master_fechaalta_ratioavg6,227.8181324005127
mcaja_ahorro_max6,224.7892806371053
Master_fultimo_cierre_lag2,221.80165303548176
Visa_mpagominimo_delta1,219.64530328114827
ccajas_consultas_tend6,217.01845032374064
Visa_cconsumos_delta1,213.83978684743246
rankp_ccuenta_debitos_automaticos,213.7420976638794
ccomisiones_mantenimiento_lag2,213.50238622029622
thomebanking_tend6,213.32151044209797
mcuenta_debitos_automaticos_tend6,211.07669003804526
ctrx_quarter_normalizado_tend6,210.57332986195883
rankp_Master_mconsumospesos,209.64902744293212
Master_delinquency_ratioavg6,209.05538501739503
rankp_mtransferencias_recibidas,208.17885297139486
ccaja_seguridad_lag1,206.44795417785645
Master_fechaalta_lag2,205.30411656697592
rankn_mcuenta_debitos_automaticos_1,204.3064395904541
Visa_status_ratioavg6,202.9258217493693
mpayroll_lag1,199.41871693929036
tcallcenter_tend6,198.74654331207276
ctarjeta_visa_transacciones_delta1,195.33543656667072
cliente_antiguedad_lag1,195.22903324762981
rankn_ccallcenter_transacciones,194.28812726338705
mactivos_margen_tend6,191.38439324696859
ccajas_transacciones_ratioavg6,190.6501932779948
ctarjeta_debito_min6,189.4688429514567
Visa_mpagominimo_delta2,188.7136603673299
mpasivos_margen_max6,187.55723349253336
mcuenta_corriente_lag1,187.01384665171307
internet_tend6,185.21532421112062
ccaja_ahorro_delta2,184.02173646291098
cliente_antiguedad_ratioavg6,181.4934897104899
Visa_mfinanciacion_limite,181.10567010243733
kmes_ratioavg6,180.51858291625976
ccuenta_debitos_automaticos_delta2,180.39250602722169
ctarjeta_visa_transacciones_tend6,180.00818297068278
ctarjeta_master,179.6109842300415
rankp_Visa_mfinanciacion_limite_1,176.45328699747722
mcuentas_saldo_max6,174.78100376129152
Visa_mfinanciacion_limite_lag2,174.4683201154073
mplazo_fijo_dolares_tend6,173.9513261159261
ctrx_quarter_delta2,173.24356396993002
ccomisiones_otras_tend6,173.10404980977376
Visa_mconsumospesos,172.4951462427775
cpagomiscuentas_tend6,171.80958035786946
Visa_fultimo_cierre,169.65468082427978
ctarjeta_master_delta2,167.4633820851644
mautoservicio,166.02588399251303
ctarjeta_visa_debitos_automaticos_tend6,165.83708635965982
rankn_Visa_msaldopesos,162.6375367482503
Master_Fvencimiento,160.95400969187418
Master_fechaalta_lag1,159.6057964960734
mttarjeta_visa_debitos_automaticos_lag2,158.71317370732626
kmes_tend6,158.42516028086345
ctrx_quarter_normalizado_delta2,157.70045668284098
kmes_lag1,156.70010693868002
mprestamos_prendarios_ratioavg6,156.07917302449545
Visa_msaldopesos_lag1,156.00195960998536
Master_msaldototal_tend6,155.1189863840739
rankn_cproductos,154.57096309661864
chomebanking_transacciones_lag2,152.99821014404296
mrentabilidad_annual_min6,152.9337158203125
Master_mfinanciacion_limite,152.4412836710612
Visa_cconsumos_ratioavg6,152.26483681996663
chomebanking_transacciones,150.53407707214356
ctarjeta_master_transacciones,149.52944787343344
Master_mlimitecompra,148.81120020548502
rankp_cpagomiscuentas,144.3315596262614
ctransferencias_emitidas_ratioavg6,143.74749279022217
tmobile_app_tend6,142.7244597117106
Visa_Fvencimiento,142.39562918345135
ctransferencias_recibidas_ratioavg6,142.25256004333497
rankp_Visa_mpagospesos,141.10519205729167
Visa_mconsumospesos_lag2,138.97084980010987
rankp_mtransferencias_recibidas_1,138.38744614919025
mcomisiones_min6,138.11418310801187
rankp_Visa_mlimitecompra,136.72145678202313
rankp_chomebanking_transacciones,136.48975658416748
rankp_Master_mpagospesos,135.33624273935953
Visa_mconsumospesos_lag1,132.47529335021972
mtarjeta_master_consumo_ratioavg6,128.51478061676025
Visa_cconsumos,127.23113663991292
Visa_mlimitecompra_lag2,126.36867039998373
mcuenta_corriente_max6,126.0382833480835
mforex_buy_ratioavg6,125.86734701792399
ccajas_consultas,125.67255999247233
mcuenta_corriente_lag2,124.55238329569498
Master_mpagominimo_lag2,124.54266319274902
Visa_mconsumototal,123.32013994852701
Master_msaldopesos_tend6,122.89605655670167
mrentabilidad,122.6513598759969
Master_Finiciomora_tend6,122.54365005493165
ctarjeta_visa_debitos_automaticos_lag2,120.93919315338135
mcuentas_saldo_min6,119.33496443430583
rankp_ccajas_transacciones,119.16056722005209
Master_mpagospesos_ratioavg6,118.64389667510986
Master_mpagominimo_delta2,116.1471129099528
rankn_ccaja_ahorro,116.02306461334229
mcaja_ahorro_dolares_delta2,115.08354663848877
mcomisiones_mantenimiento_lag1,115.0341407775879
Master_mfinanciacion_limite_lag1,114.0017728805542
Visa_delinquency_lag1,113.73022899627685
Master_mfinanciacion_limite_lag2,112.12769667307536
mcuentas_saldo_lag1,110.4461306254069
mcomisiones_lag2,109.56167043050131
cpayroll_trx_lag1,109.36075051625569
chomebanking_transacciones_lag1,107.43231372833252
rankn_mcuenta_debitos_automaticos,106.39095058441163
mpasivos_margen_lag1,105.30423997243246
rankp_Master_mfinanciacion_limite,104.58325023651123
ccallcenter_transacciones_delta1,104.06554361979167
ctransferencias_emitidas_delta2,103.59852981567383
mprestamos_prendarios_min6,102.8423531850179
mprestamos_hipotecarios_min6,101.830917040507
mcaja_ahorro_dolares_tend6,101.53463637034098
mcuentas_saldo_lag2,100.64263356526693
mplazo_fijo_dolares,98.68386961619059
ctrx_quarter_lag2,97.73944676717123
Visa_msaldopesos_lag2,96.39793637593587
mcaja_ahorro_dolares_max6,95.81873308817545
mtarjeta_visa_consumo_delta1,94.4056832631429
mrentabilidad_lag2,93.16809018452962
